playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP
uribeju01,152,31,1,14,70,59,36,115,18,3,3,4,2,554,600,0.274,0.322,0.410,0.732,0.135,0.324,7,19.17%,6.00%,3.19,0.325
urruthe01,144,24,4,14,59,67,43,120,14,3,4,8,3,549,600,0.262,0.320,0.397,0.718,0.135,0.319,4,20.00%,7.17%,2.79,0.313
utleych01,142,29,5,15,71,72,51,85,10,8,10,10,2,530,600,0.268,0.343,0.426,0.770,0.158,0.345,16,14.17%,8.50%,1.67,0.295
valaich01,134,27,2,14,65,58,41,136,16,3,7,7,2,546,600,0.245,0.306,0.379,0.686,0.134,0.306,-2,22.67%,6.83%,3.32,0.303
valbulu01,126,33,3,16,59,66,71,117,10,4,3,3,4,524,600,0.240,0.334,0.406,0.741,0.166,0.331,10,19.50%,11.83%,1.65,0.281
valdejo02,128,22,4,18,68,69,43,118,8,2,6,15,6,543,600,0.236,0.299,0.390,0.689,0.155,0.306,-2,19.67%,7.17%,2.74,0.270
valdewi01,131,22,2,11,58,61,40,111,12,2,3,10,3,546,600,0.240,0.295,0.348,0.643,0.108,0.288,-10,18.50%,6.67%,2.78,0.283
valenda01,143,34,3,15,70,58,34,128,16,1,3,4,4,556,600,0.257,0.304,0.410,0.714,0.153,0.314,2,21.33%,5.67%,3.76,0.310
vanslsc01,140,30,2,23,71,69,61,150,14,1,6,9,4,528,600,0.265,0.348,0.460,0.808,0.195,0.355,21,25.00%,10.17%,2.46,0.330
vargake01,146,28,3,19,83,69,41,146,13,4,6,5,2,546,600,0.267,0.325,0.434,0.760,0.167,0.336,12,24.33%,6.83%,3.56,0.333
vazquch01,134,28,2,10,64,59,53,116,13,3,3,6,2,533,600,0.251,0.323,0.368,0.690,0.116,0.310,0,19.33%,8.83%,2.19,0.305
velazgi01,138,25,3,14,61,64,44,115,10,3,4,10,3,545,600,0.253,0.314,0.387,0.701,0.134,0.312,1,19.17%,7.33%,2.61,0.298
venabwi01,137,25,6,16,56,71,44,133,7,3,4,21,7,545,600,0.251,0.312,0.407,0.719,0.156,0.318,4,22.17%,7.33%,3.02,0.306
vicieda01,140,26,3,22,73,69,37,133,18,2,5,2,2,555,600,0.252,0.305,0.429,0.734,0.177,0.323,6,22.17%,6.17%,3.59,0.295
victosh01,145,28,4,13,60,75,39,88,7,1,10,23,4,539,600,0.269,0.330,0.408,0.738,0.139,0.327,8,14.67%,6.50%,2.26,0.301
villajo01,128,27,4,12,52,69,50,160,11,3,3,30,10,538,600,0.238,0.306,0.370,0.676,0.132,0.302,-4,26.67%,8.33%,3.20,0.317
