playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP,,,,,,
skipwky01,46,9,1,5,22,23,17,41,5,1,2,3,1,180,200,0.256,0.327,0.400,0.727,0.144,0.324,2.2,20.50%,8.50%,2.41,0.306,,,,,,
smithse01,112,29,3,12,51,58,56,101,9,4,4,2,1,438,501,0.256,0.345,0.418,0.763,0.162,0.341,12.2,20.16%,11.18%,1.80,0.308,,,,,,
smoakju01,80,15,0,13,41,41,40,88,9,1,2,2,1,348,390,0.230,0.313,0.385,0.698,0.155,0.312,0.6,22.56%,10.26%,2.20,0.271,,,,,,
smolija01,63,12,1,7,28,29,17,55,4,1,4,3,1,224,246,0.281,0.343,0.438,0.780,0.156,0.345,6.8,22.36%,6.91%,3.24,0.346,,,,,,
snidetr01,92,18,2,11,42,45,37,92,8,3,2,4,2,368,408,0.250,0.322,0.399,0.721,0.149,0.322,3.8,22.55%,9.07%,2.49,0.306,,,,,,
snydebr02,48,9,1,6,22,23,18,45,5,1,2,3,1,195,217,0.246,0.316,0.395,0.711,0.149,0.317,1.2,20.74%,8.29%,2.50,0.292,,,,,,
snydebr03,47,10,1,6,24,25,14,49,4,1,2,3,1,187,205,0.251,0.310,0.412,0.722,0.160,0.320,1.5,23.90%,6.83%,3.50,0.311,,,,,,
snydech02,40,8,1,5,21,21,21,46,4,2,2,2,1,178,202,0.225,0.313,0.365,0.679,0.140,0.307,-0.4,22.77%,10.40%,2.19,0.276,,,,,,
sogarer01,89,18,2,4,35,46,32,59,6,1,3,10,4,364,406,0.245,0.311,0.338,0.649,0.093,0.292,-5.7,14.53%,7.88%,1.84,0.282,,,,,,
solando01,98,15,2,5,39,38,27,74,8,2,4,5,2,372,410,0.263,0.320,0.355,0.675,0.091,0.303,-2.2,18.05%,6.59%,2.74,0.317,,,,,,
solanjh01,47,10,1,5,22,23,16,39,6,1,1,3,2,187,205,0.251,0.314,0.396,0.709,0.144,0.315,0.8,19.02%,7.80%,2.44,0.294,,,,,,
solarya01,108,19,1,10,46,51,44,67,11,1,4,2,2,414,468,0.261,0.338,0.384,0.722,0.123,0.323,4.8,14.32%,9.40%,1.52,0.291,,,,,,
solerjo01,61,14,2,8,34,29,19,56,6,1,2,4,1,226,249,0.270,0.332,0.456,0.788,0.186,0.346,7.0,22.49%,7.63%,2.95,0.327,,,,,,
